Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
+170.216,+000.125,+179.343,-0.148,+0.036,-0.715,+00.0190,-00.1200,+10.0780,-00.000606,-00.000190,-00.000403
+170.216,+000.124,+179.343,-0.151,+0.034,-0.715,+00.0350,-00.1090,+10.0580,+00.000892,-00.000506,+00.000608
+170.218,+000.124,+179.342,-0.151,+0.034,-0.720,+00.0140,-00.0900,+10.0710,+00.000861,+00.000541,+00.000844
+170.219,+000.123,+179.343,-0.151,+0.032,-0.711,+00.0400,-00.1210,+10.1130,-00.000616,-00.000878,+00.000257
+170.221,+000.124,+179.343,-0.154,+0.032,-0.716,+00.0400,-00.1220,+10.0520,-00.000628,+00.000425,-00.001565
+170.220,+000.126,+179.342,-0.152,+0.032,-0.715,+00.0000,-00.1150,+10.0720,-00.000543,+00.000279,-00.000012
+170.219,+000.125,+179.344,-0.149,+0.030,-0.715,-00.0010,-00.1270,+10.0820,+00.000228,-00.000374,-00.000223
+170.220,+000.124,+179.344,-0.151,+0.028,-0.715,+00.0080,-00.1120,+10.0940,+00.000437,+00.000749,-00.000132
+170.224,+000.125,+179.344,-0.151,+0.034,-0.712,+00.0170,-00.1380,+10.0720,-00.001956,-00.000521,-00.000490
+170.224,+000.124,+179.343,-0.153,+0.033,-0.715,+00.0050,-00.1230,+10.0670,-00.000022,+00.000850,+00.000099
+170.224,+000.124,+179.343,-0.152,+0.027,-0.709,+00.0140,-00.1040,+10.0690,+00.000957,-00.000434,+00.000113
+170.223,+000.123,+179.343,-0.151,+0.034,-0.716,+00.0240,-00.1230,+10.0690,+00.000570,+00.000158,+00.000539
+170.223,+000.122,+179.341,-0.153,+0.037,-0.718,+00.0250,-00.1250,+10.0750,+00.000588,-00.000059,+00.000295
+170.222,+000.122,+179.342,-0.152,+0.033,-0.716,+00.0130,-00.1120,+10.0840,+00.001194,-00.000569,-00.000186
+170.223,+000.122,+179.343,-0.148,+0.033,-0.710,+00.0130,-00.1100,+10.0640,-00.000687,-00.000008,-00.000593
+170.221,+000.121,+179.343,-0.151,+0.034,-0.715,+00.0070,-00.1200,+10.0620,-00.000503,+00.000107,-00.000303
+170.218,+000.120,+179.342,-0.148,+0.032,-0.716,+00.0370,-00.1080,+10.0870,-00.000333,-00.000427,+00.000058
+170.218,+000.121,+179.342,-0.151,+0.029,-0.710,+00.0220,-00.1310,+10.0830,-00.000347,-00.000394,+00.000811
+170.220,+000.121,+179.341,-0.152,+0.040,-0.718,+00.0330,-00.1370,+10.0630,-00.000286,+00.000245,-00.000117
+170.219,+000.119,+179.341,-0.152,+0.032,-0.716,+00.0060,-00.1300,+10.1070,+00.000287,+00.000129,+00.000018
+170.218,+000.119,+179.340,-0.153,+0.031,-0.713,+00.0140,-00.1090,+10.0870,+00.000049,+00.000265,-00.001440
+170.219,+000.118,+179.341,-0.151,+0.039,-0.716,+00.0200,-00.1290,+10.0680,-00.000333,-00.000033,-00.000182
+170.218,+000.119,+179.341,-0.152,+0.035,-0.719,+00.0450,-00.1160,+10.0980,-00.000328,-00.000386,+00.000896
+170.220,+000.119,+179.340,-0.151,+0.032,-0.712,+00.0230,-00.1040,+10.0820,-00.000404,-00.001091,-00.000360
+170.221,+000.119,+179.340,-0.149,+0.032,-0.722,+00.0140,-00.1270,+10.1000,+00.001096,+00.000873,-00.000082
+170.219,+000.118,+179.340,-0.151,+0.029,-0.712,+00.0120,-00.1260,+10.0700,-00.000375,-00.001094,+00.000445
+170.220,+000.119,+179.340,-0.153,+0.032,-0.716,+00.0280,-00.1070,+10.0950,-00.000357,-00.001081,+00.001005
+170.221,+000.119,+179.340,-0.152,+0.037,-0.719,+00.0180,-00.1240,+10.1060,+00.000582,-00.000178,+00.000113
+170.219,+000.118,+179.340,-0.149,+0.032,-0.713,+00.0430,-00.1120,+10.0270,-00.000407,-00.000479,+00.001037
+170.220,+000.119,+179.340,-0.153,+0.031,-0.712,+00.0250,-00.1210,+10.0610,+00.000361,-00.000547,+00.000244
+170.222,+000.119,+179.339,-0.151,+0.031,-0.717,+00.0310,-00.1080,+10.1100,+00.000209,+00.000967,+00.000673
+170.226,+000.119,+179.339,-0.152,+0.031,-0.718,+00.0340,-00.1280,+10.0440,+00.000120,-00.000501,+00.000222
+170.229,+000.120,+179.339,-0.151,+0.029,-0.713,+00.0230,-00.1040,+10.1080,+00.000291,+00.000227,-00.000105
+170.230,+000.120,+179.339,-0.153,+0.034,-0.713,+00.0050,-00.1120,+10.0750,+00.000222,+00.000653,+00.000412
+170.225,+000.120,+179.340,-0.151,+0.032,-0.715,+00.0110,-00.1090,+10.0890,+00.000280,-00.000104,+00.000870
+170.224,+000.119,+179.339,-0.151,+0.031,-0.710,+00.0450,-00.1420,+10.0820,-00.000304,+00.000381,+00.001208
+170.227,+000.119,+179.339,-0.151,+0.033,-0.716,+00.0190,-00.1360,+10.0930,+00.000741,+00.000579,+00.000931
+170.225,+000.118,+179.338,-0.148,+0.033,-0.715,+00.0050,-00.1110,+10.0670,-00.000188,+00.001228,+00.001370
+170.226,+000.117,+179.337,-0.151,+0.035,-0.711,+00.0070,-00.1110,+10.0570,-00.001682,+00.000359,+00.000800
+170.226,+000.118,+179.337,-0.151,+0.029,-0.712,+00.0180,-00.1210,+10.0620,+00.000820,-00.000658,-00.000437
+170.223,+000.118,+179.337,-0.151,+0.030,-0.722,+00.0100,-00.1140,+10.0690,+00.000179,-00.000167,+00.000613
